# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 8 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 10.0
# Number of particles: 50
# Spread in x        : 1.0439684858214949E-10m 
# Spread in y        : 0.0m 
# Spread in z        : 0.0m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 0.010000000000000002ms^-1 
# ----------------------------- 
x_spread 	 delta_KE 
1.0439684858214949E-10	3870.920185454524
1.3142784559129587E-10	4009.163889575672
1.6545785463224237E-10	3876.9325735528914
2.0829909777747518E-10	3973.7118592625984
2.622330274458614E-10	3962.0111624830033
3.301318220633123E-10	3961.6843131616
4.1561134003741415E-10	4055.62787185877
5.232236774029273E-10	3940.517172898447
6.586995835349388E-10	4083.113406115687
8.292536444503691E-10	4040.937270100218
1.0439684858214948E-9	3922.370578567451
1.3142784559129588E-9	3917.113278231232
1.6545785463224243E-9	3995.3751726813953
2.0829909777747517E-9	4024.663476598374
2.6223302744586153E-9	3987.8476250059425
3.3013182206331222E-9	3914.53082798356
4.156113400374142E-9	4105.004242071919
5.2322367740292745E-9	3906.714499974083
6.5869958353493865E-9	4056.0087573489923
8.292536444503693E-9	4065.85905569523
1.0439684858214948E-8	4077.243536338601
1.314278455912959E-8	3922.762645435081
1.6545785463224246E-8	3925.3153177259555
2.082990977774753E-8	3965.4977017183746
2.6223302744586165E-8	3911.5422505159772
3.301318220633123E-8	3949.364787314938
4.156113400374142E-8	3902.518240408132
5.2322367740292745E-8	3947.4709888916605
6.586995835349391E-8	3981.8596293151973
8.292536444503698E-8	4015.7687017588687
1.0439684858214949E-7	4006.76003434023
1.314278455912959E-7	3914.0818370465627
1.6545785463224244E-7	3987.8970011517504
2.0829909777747533E-7	4096.274787001081
2.6223302744586163E-7	3977.9863039481465
3.3013182206331227E-7	3990.7671002695515
4.1561134003741423E-7	4025.9118876874245
5.232236774029275E-7	4019.4080989684635
6.58699583534939E-7	3908.598409954534
8.292536444503698E-7	4042.996169841814
1.043968485821495E-6	3973.167588035822
1.3142784559129602E-6	4061.0347293672403
1.6545785463224243E-6	4081.098520012727
2.082990977774751E-6	3982.8816179674336
2.6223302744586165E-6	4046.8791001257905
3.3013182206331225E-6	4087.973731796485
4.1561134003741465E-6	3987.7691836135323
5.2322367740292746E-6	3946.865256909473
6.586995835349397E-6	3994.865594367595
8.292536444503696E-6	4008.6340791339044
1.0439684858214948E-5	4037.8476098435676
1.3142784559129603E-5	3899.0123630277876
1.6545785463224242E-5	4048.2101706859594
2.0829909777747556E-5	3905.5403118682802
2.6223302744586165E-5	3959.4280973280165
3.3013182206331224E-5	4164.647414328785
4.1561134003741464E-5	4134.623937236775
5.232236774029274E-5	4009.63067692345
6.586995835349396E-5	4016.9143747576177
8.292536444503698E-5	4077.5774753032874
1.0439684858214949E-4	4022.8187061680687
1.3142784559129603E-4	4038.964139478248
1.6545785463224243E-4	4034.28364059744
2.0829909777747552E-4	4036.7042119498456
2.6223302744586167E-4	3972.4177804646665
3.301318220633123E-4	4167.328743484224
4.1561134003741465E-4	4044.2139350574275
5.232236774029274E-4	4096.5040281669835
6.586995835349398E-4	3990.9713686818977
8.292536444503699E-4	3995.719279221299
0.001043968485821495	4032.655288103673
