# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 8 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 10.0
# Number of particles: 10
# Spread in x        : 1.0E-8m 
# Spread in y        : 0.0m 
# Spread in z        : 0.0m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 10.0ms^-1 
# ----------------------------- 
x_spread 	 delta_KE 
1.0E-8	1.004273413456642
1.5848931924611136E-8	1.0040850413181075
2.51188643150958E-8	1.004923951145611
3.981071705534973E-8	1.0035005168407711
6.309573444801934E-8	1.0027863031495612
1.0E-7	1.0042010720396721
1.584893192461114E-7	1.0057788001768144
2.511886431509581E-7	1.0046799301162233
3.9810717055349735E-7	1.0025860724815026
6.309573444801933E-7	1.005255828080271
1.0E-6	1.0057223636953643
1.5848931924611143E-6	1.0030006914765284
2.5118864315095823E-6	1.0073963784471147
3.981071705534973E-6	1.0043046522162444
6.309573444801937E-6	1.0036606306294356
1.0E-5	1.0059409661463439
1.584893192461114E-5	1.005480943484613
2.5118864315095822E-5	1.0048956625562795
3.9810717055349735E-5	1.0071419911576704
6.309573444801936E-5	1.0038830482204757
1.0E-4	1.0025123510513558
1.5848931924611142E-4	1.0040706544158853
2.511886431509582E-4	1.0037779440374395
3.9810717055349773E-4	1.0030332109712563
6.309573444801943E-4	1.0052324461241255
0.001	1.008825873511354
0.001584893192461114	1.0072908960246287
0.002511886431509582	1.0029966356403717
0.003981071705534978	1.003129822804796
0.006309573444801942	1.0035575536115808
0.01	1.0032555462197383
0.01584893192461114	1.0057973350508302
0.025118864315095822	1.0050243139552482
0.039810717055349776	1.005529447476456
0.06309573444801943	1.007975454577493
0.1	1.00475117115001
