# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 2
# Time-step          : 1.0E-5s 
# Number of Turns    : 50.0
# Number of particles: 50
# Spread in x        : 0.0010439684858214947m 
# Spread in y        : 0.0010439684858214947m 
# Spread in z        : 0.0010439684858214947m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 1.0E-5ms^-1 
# ----------------------------- 
Time 	 KE 	 PE 	 E 	 L 
0.0	4.181554758149325E-20	4.1815482522377525E-20	8.363103010387077E-20	8.730809194567223E-21
0.00999999999999976	4.182011758464213E-20	4.1817586030804415E-20	8.363770361544655E-20	8.731248393868697E-21
0.019999999999999355	4.182050130289843E-20	4.181762053665424E-20	8.363812183955267E-20	8.731255598472652E-21
0.029999999999998948	4.1820885024675535E-20	4.181768145493314E-20	8.363856647960868E-20	8.731268317825334E-21
0.040000000000001576	4.182126874997346E-20	4.181777174548575E-20	8.363904049545922E-20	8.731287169923631E-21
0.05000000000000464	4.182165247879221E-20	4.1817894098918384E-20	8.36395465777106E-20	8.731312716549189E-21
0.0600000000000077	4.1822036211131864E-20	4.1818050911927966E-20	8.364008712305984E-20	8.731345458117224E-21
0.07000000000000556	4.182241994699243E-20	4.181824426532537E-20	8.36406642123178E-20	8.731385829087928E-21
0.08000000000000168	4.182280368637392E-20	4.1818475904954745E-20	8.364127959132866E-20	8.731434193982557E-21
0.0899999999999978	4.182318742927642E-20	4.1818747225683764E-20	8.364193465496019E-20	8.731490844040684E-21
0.09999999999999393	4.182357117569994E-20	4.1819059258611715E-20	8.364263043431166E-20	8.73155599454935E-21
0.10999999999999005	4.1823954925644474E-20	4.1819412661612514E-20	8.364336758725698E-20	8.731629782868471E-21
0.11999999999998617	4.182433867911012E-20	4.181980771329969E-20	8.364414639240981E-20	8.731712267170813E-21
0.12999999999998924	4.182472243609686E-20	4.18202443104684E-20	8.364496674656525E-20	8.731803425907837E-21
0.13999999999999924	4.182510619660472E-20	4.182072196903815E-20	8.364582816564287E-20	8.731903158006597E-21
0.15000000000000924	4.1825489960633744E-20	4.182123982848758E-20	8.364672978912133E-20	8.73201128379565E-21
0.16000000000001924	4.1825873728184017E-20	4.182179665974071E-20	8.364767038792472E-20	8.732127546651691E-21
0.17000000000002924	4.1826257499255533E-20	4.182239087643213E-20	8.364864837568767E-20	8.732251615351612E-21
0.18000000000003924	4.182664127384831E-20	4.1823020549448334E-20	8.364966182329665E-20	8.732383087108672E-21
0.19000000000004924	4.182702505196239E-20	4.182368342461138E-20	8.365070847657376E-20	8.732521491264717E-21
0.20000000000005924	4.182740883359782E-20	4.1824376943343254E-20	8.365178577694107E-20	8.7326662936048E-21
0.21000000000006924	4.1827792618754604E-20	4.182509826612135E-20	8.365289088487595E-20	8.732816901254487E-21
0.22000000000007924	4.1828176407432755E-20	4.1825844298509665E-20	8.365402070594242E-20	8.732972668115046E-21
0.23000000000008924	4.182856019963241E-20	4.1826611719527725E-20	8.365517191916014E-20	8.73313290078669E-21
0.24000000000009925	4.182894399535346E-20	4.1827397012096613E-20	8.365634100745007E-20	8.733296864925503E-21
0.25000000000010925	4.182932779459603E-20	4.1828196495283385E-20	8.365752428987942E-20	8.733463791975887E-21
0.26000000000011925	4.182971159736014E-20	4.182900635804773E-20	8.365871795540788E-20	8.733632886216659E-21
0.27000000000012925	4.183009540364579E-20	4.18298226941824E-20	8.365991809782818E-20	8.73380333205634E-21
0.28000000000013925	4.1830479213453046E-20	4.183064153812575E-20	8.36611207515788E-20	8.733974301510673E-21
0.29000000000014925	4.183086302678192E-20	4.1831458901319526E-20	8.366232192810145E-20	8.734144961793825E-21
0.30000000000015925	4.183124684363244E-20	4.1832270808777116E-20	8.366351765240956E-20	8.734314482953653E-21
0.31000000000016925	4.1831630664004684E-20	4.183307333552845E-20	8.366470399953313E-20	8.734482045481135E-21
0.32000000000017925	4.183201448789864E-20	4.183386264260603E-20	8.366587713050466E-20	8.734646847824061E-21
0.33000000000018925	4.183821188673337E-20	4.183754148396404E-20	8.36757533706974E-20	8.735414966712486E-21
0.34000000000019925	4.184114072721295E-20	4.1839592223913484E-20	8.368073295112644E-20	8.735843148288451E-21
0.35000000000020925	4.184152463836603E-20	4.184038532229282E-20	8.368190996065885E-20	8.736008742231281E-21
0.36000000000021926	4.1841908553041607E-20	4.184118887369233E-20	8.368309742673393E-20	8.736176518698844E-21
0.37000000000022926	4.184229247123977E-20	4.184199903079672E-20	8.36842915020365E-20	8.736345674395962E-21
0.38000000000023926	4.184267639296059E-20	4.184281188572372E-20	8.368548827868431E-20	8.736515393381427E-21
0.39000000000024926	4.184306031820402E-20	4.1843623505852734E-20	8.368668382405675E-20	8.736684854548854E-21
0.40000000000025926	4.1843444246970155E-20	4.184442996988042E-20	8.368787421685057E-20	8.73685323915483E-21
0.41000000000026926	4.1843828179259004E-20	4.184522740377327E-20	8.368905558303228E-20	8.737019738325561E-21
0.42000000000027926	4.184421211507061E-20	4.184601201628663E-20	8.369022413135724E-20	8.737183560473065E-21
0.43000000000028926	4.1844596054405027E-20	4.184678013372537E-20	8.36913761881304E-20	8.737343938552954E-21
0.44000000000029926	4.1844979997262236E-20	4.1847528233626854E-20	8.369250823088909E-20	8.737500137097237E-21
0.45000000000030926	4.1845363943642296E-20	4.1848252977057964E-20	8.369361692070026E-20	8.737651458957711E-21
0.46000000000031926	4.1845747893545237E-20	4.1848951239229425E-20	8.369469913277466E-20	8.737797251698082E-21
0.47000000000032927	4.184613184697107E-20	4.1849620138147254E-20	8.369575198511832E-20	8.737936913576162E-21
0.48000000000033927	4.1846515803919864E-20	4.1850257061038367E-20	8.369677286495823E-20	8.738069899061404E-21
0.49000000000034927	4.184689976439162E-20	4.1850859688308045E-20	8.369775945269966E-20	8.738195723837056E-21
0.5000000000003593	4.184728372838637E-20	4.1851426014809734E-20	8.36987097431961E-20	8.738313969241145E-21
0.5100000000003138	4.1847667695904185E-20	4.185195436823195E-20	8.369962206413613E-20	8.738424286105581E-21
0.5200000000002682	4.184805166694508E-20	4.185244342443376E-20	8.370049509137884E-20	8.738526397958072E-21
0.5300000000002227	4.184843564150907E-20	4.1852892219588234E-20	8.370132786109731E-20	8.73862010355765E-21
0.5400000000001772	4.184881961959625E-20	4.185330015902286E-20	8.370211977861911E-20	8.738705278740424E-21
0.5500000000001317	4.184920360120657E-20	4.185366702267468E-20	8.370287062388126E-20	8.738781877558636E-21
0.5600000000000862	4.184958758634005E-20	4.185399296711164E-20	8.37035805534517E-20	8.738849932702705E-21
0.5700000000000407	4.184997157499679E-20	4.1854278524100564E-20	8.370425009909736E-20	8.738909555202175E-21
0.5799999999999952	4.185035556717681E-20	4.1854524595735045E-20	8.370488016291186E-20	8.738960933408504E-21
0.5899999999999497	4.1850739562880117E-20	4.185473244616806E-20	8.370547200904817E-20	8.739004331268869E-21
0.5999999999999042	4.1851123562106744E-20	4.1854903690025046E-20	8.370602725213179E-20	8.739040085906887E-21
0.6099999999998587	4.185150756485674E-20	4.185504027760348E-20	8.370654784246022E-20	8.739068604532373E-21
0.6199999999998131	4.185189157113015E-20	4.1855144476994793E-20	8.370703604812495E-20	8.739090360708531E-21
0.6299999999997676	4.1852275580926985E-20	4.1855218853292513E-20	8.37074944342195E-20	8.739105890010709E-21
0.6399999999997221	4.185265959424728E-20	4.1855266245076983E-20	8.370792583932426E-20	8.739115785116605E-21
0.6499999999996766	4.185304361109109E-20	4.1855289738392655E-20	8.370833334948375E-20	8.739120690372843E-21
0.6559499999996495	4.185745230465366E-20	4.185738300662403E-20	8.371483531127769E-20	8.739557751586031E-21
0.6599999999996311	4.1860852319425265E-20	4.185900651467881E-20	8.371985883410407E-20	8.739896729835166E-21
0.6699999999995856	4.186217234469583E-20	4.185949485284148E-20	8.37216671975373E-20	8.739998691765614E-21
0.6799999999995401	4.1862556448823345E-20	4.1859539911408326E-20	8.372209636023166E-20	8.740008099710374E-21
0.6899999999994946	4.186294055647519E-20	4.185961262730997E-20	8.372255318378517E-20	8.740023282332322E-21
0.6999999999994491	4.186332466765138E-20	4.185971585577463E-20	8.372304052342601E-20	8.74004483578511E-21
0.7099999999994036	4.1863708782351975E-20	4.1859852172336555E-20	8.372356095468852E-20	8.740073297824065E-21
0.719999999999358	4.1864092900576974E-20	4.1860023849220036E-20	8.3724116749797E-20	8.740109142875282E-21
0.7299999999993125	4.1864477022326455E-20	4.186023283450375E-20	8.37247098568302E-20	8.740152777685322E-21
0.739999999999267	4.186486114760041E-20	4.186048073425694E-20	8.372534188185735E-20	8.740204537591313E-21
0.7499999999992215	4.186524527639889E-20	4.1860768797811263E-20	8.372601407421015E-20	8.740264683445843E-21
0.759999999999176	4.1865629408721945E-20	4.186109790630299E-20	8.372672731502494E-20	8.740333399224597E-21
0.7699999999991305	4.186601354456957E-20	4.186146856459105E-20	8.372748210916062E-20	8.740410790338946E-21
0.779999999999085	4.186639768394183E-20	4.186188089662478E-20	8.37282785805666E-20	8.740496882668726E-21
0.7899999999990395	4.1866781826838694E-20	4.186233464430402E-20	8.372911647114271E-20	8.74059162232425E-21
0.799999999998994	4.18671659732603E-20	4.186282916984198E-20	8.372999514310229E-20	8.740694876139669E-21
0.8099999999989485	4.1867550123206576E-20	4.186336346160929E-20	8.373091358481586E-20	8.740806432893134E-21
0.8199999999989029	4.186793427667761E-20	4.18639361434056E-20	8.373187042008321E-20	8.740926005242678E-21
0.8299999999988574	4.1868318433673426E-20	4.1864545487073776E-20	8.37328639207472E-20	8.741053232360005E-21
0.8399999999988119	4.186870259419406E-20	4.186518942834133E-20	8.37338920225354E-20	8.74118768323801E-21
0.8499999999987664	4.186908675823951E-20	4.186586558574329E-20	8.37349523439828E-20	8.74132886064183E-21
0.8599999999987209	4.186947092580986E-20	4.186657128245369E-20	8.373604220826355E-20	8.741476205667076E-21
0.8699999999986754	4.186985509690515E-20	4.186730357082523E-20	8.373715866773038E-20	8.741629102863552E-21
0.8799999999986299	4.187023927152537E-20	4.186805925941189E-20	8.373829853093726E-20	8.74178688587747E-21
0.8899999999985844	4.1870623449670546E-20	4.186883494222751E-20	8.373945839189806E-20	8.74194884356037E-21
0.8999999999985389	4.187100763134073E-20	4.186962702997109E-20	8.374063466131182E-20	8.742114226488835E-21
0.9099999999984933	4.187139181653595E-20	4.187043178293373E-20	8.374182359946968E-20	8.742282253835201E-21
0.9199999999984478	4.187177600525623E-20	4.1871245345284136E-20	8.374302135054037E-20	8.742452120526216E-21
0.9299999999984023	4.187216019750165E-20	4.1872063780419774E-20	8.374422397792142E-20	8.742623004624073E-21
0.9399999999983568	4.1872544393272186E-20	4.187288310705845E-20	8.374542750033064E-20	8.742794074862158E-21
0.9499999999983113	4.187292859256791E-20	4.187369933574018E-20	8.374662792830808E-20	8.742964498266339E-21
0.9599999999982658	4.1873312795388824E-20	4.1874508505404003E-20	8.374782130079283E-20	8.74313344779208E-21
0.9699999999982203	4.187369700173496E-20	4.187530671970505E-20	8.374900372144E-20	8.743300109907129E-21
0.9799999999981748	4.1875137348130893E-20	4.187661813710342E-20	8.375175548523431E-20	8.743573925594263E-21
0.9899999999981293	4.188282814617557E-20	4.188104199257264E-20	8.376387013874822E-20	8.744497598733402E-21
0.9999999999980838	4.188321243982929E-20	4.188182767684643E-20	8.376504011667571E-20	8.744661644657731E-21
1.0099999999981493	4.188359673700906E-20	4.18826260644359E-20	8.376622280144496E-20	8.744828342954302E-21
1.0199999999982148	4.1883981037714944E-20	4.188343335889751E-20	8.376741439661245E-20	8.744996900949644E-21
1.0299999999982803	4.188436534194696E-20	4.1884245682122955E-20	8.376861102406991E-20	8.745166508919173E-21
1.0399999999983458	4.188474964970513E-20	4.188505910989491E-20	8.376980875960004E-20	8.745336347511055E-21
1.0499999999984113	4.1885133960989485E-20	4.1885869707865384E-20	8.377100366885486E-20	8.745505595258226E-21
1.0599999999984768	4.188551827580008E-20	4.188667356762747E-20	8.377219184342754E-20	8.745673436109952E-21
1.0699999999985423	4.188590259413694E-20	4.188746684254956E-20	8.37733694366865E-20	8.745839066913805E-21
1.0799999999986079	4.1886286916000084E-20	4.1888245783043415E-20	8.37745326990435E-20	8.746001704779388E-21
1.0899999999986734	4.188667124138957E-20	4.188900677094305E-20	8.377567801233262E-20	8.746160594256452E-21
1.0999999999987389	4.1887055570305416E-20	4.188974635267872E-20	8.377680192298413E-20	8.746315014261395E-21
1.1099999999988044	4.1887439902747624E-20	4.189046127094225E-20	8.377790117368988E-20	8.746464284688808E-21
1.11999999999887	4.188782423871625E-20	4.189114849455344E-20	8.37789727332697E-20	8.746607772647368E-21
1.1299999999989354	4.1888208578211355E-20	4.1891805246253094E-20	8.378001382446445E-20	8.74674489826286E-21
1.139999999999001	4.1888592921232944E-20	4.189242902816855E-20	8.378102194940149E-20	8.746875139995207E-21
1.1499999999990664	4.188897726778107E-20	4.1893017644717825E-20	8.37819949124989E-20	8.746998039420745E-21
1.159999999999132	4.188936161785576E-20	4.189356922274242E-20	8.378293084059817E-20	8.747113205435775E-21
1.1699999999991975	4.1889745971456987E-20	4.189408222868422E-20	8.37838282001412E-20	8.747220317843029E-21
1.179999999999263	4.1890130328584826E-20	4.1894555482648927E-20	8.378468581123375E-20	8.747319130288018E-21
1.1899999999993285	4.1890514689239327E-20	4.18949881692271E-20	8.378550285846643E-20	8.747409472518389E-21
1.199999999999394	4.1890899053420505E-20	4.189537984497358E-20	8.378627889839408E-20	8.747491251945588E-21
1.2099999999994595	4.18912834211284E-20	4.1895730442476406E-20	8.37870138636048E-20	8.74756445449442E-21
1.219999999999525	4.1891667792363026E-20	4.189604027097856E-20	8.378770806334158E-20	8.747629144732871E-21
