# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : Velocity Verlet
# Time-step          : 0.001s 
# Number of Turns    : 100.0
# Number of particles: 10
# Spread in x        : 0.010439684858214946m 
# Spread in y        : 0.010439684858214946m 
# Spread in z        : 0.010439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 0.1ms^-1 
# ----------------------------- 
x 	 y 	 z 
-3.209023764792263	0.05171589692251721	-6.927886580435524E-4
-6.516690597048593	0.10609731607944216	-6.927886580435524E-4
-9.92338464316173	0.16323232753497915	-6.927886580435524E-4
-13.434137873991052	0.2232963841132728	-6.927886580435524E-4
-17.052128407532837	0.2864151221695576	-6.927886580435524E-4
-20.78063141373326	0.35271912049403736	-6.927886580435524E-4
-24.623022077833927	0.4223440850251395	-6.927886580435524E-4
-28.58154081392344	0.4954875193088226	-6.927886580435524E-4
-32.660154409584266	0.5722522323800778	-6.927886580435524E-4
-36.863348379415086	0.6527791275625792	-6.927886580435524E-4
-41.19492750145889	0.7372264236899152	-6.927886580435524E-4
-45.65680075111934	0.8257097694222435	-6.927886580435524E-4
-50.254989830763904	0.9184468070775481	-6.927886580435524E-4
-54.993627926403704	1.0156440916980114	-6.927886580435524E-4
-59.8770038022626	1.1174570909552586	-6.927886580435524E-4
-64.9075240244543	1.2240580818318205	-6.927886580435524E-4
-70.0916961616844	1.335663482037821	-6.927886580435524E-4
-75.43421273489031	1.4524795615530048	-6.927886580435524E-4
-80.9399095559072	1.5747205223585172	-6.927886580435524E-4
-86.61377010243287	1.7026087905490792	-6.927886580435524E-4
-92.46089978561763	1.8363947039715016	-6.927886580435524E-4
-98.48658984737722	1.9762989045130188	-6.927886580435524E-4
-104.69629340773156	2.1225703457852627	-6.927886580435524E-4
-111.09361537621315	2.2754770309819086	-6.927886580435524E-4
-117.68633071663426	2.4352776521196224	-6.927886580435524E-4
-124.48040654947782	2.6022507076790697	-6.927886580435524E-4
-131.48179083196172	2.7766813731446978	-6.927886580435524E-4
-138.69520657496997	2.958838305629816	-6.927886580435524E-4
-146.14090347777503	0.7491953904532958	-6.927886580435524E-4
-153.8028788615638	0.8744349875976005	-6.927886580435524E-4
-161.69889396308727	1.0061625965555574	-6.927886580435524E-4
-169.83609674080773	1.144657740132447	-6.927886580435524E-4
-178.22185343541355	1.2902109641253134	-6.927886580435524E-4
-186.86375523479367	1.4431242499213186	-6.927886580435524E-4
-195.76761030246013	1.6037209920471687	-6.927886580435524E-4
-204.94346437932583	1.7723177301311097	-6.927886580435524E-4
-214.39962460415302	1.9492533671433057	-6.927886580435524E-4
-224.1446517917434	2.1348800458865513	-6.927886580435524E-4
-234.18733774595353	2.3295731631387215	-6.927886580435524E-4
-244.53677305907655	2.5337032483279684	-6.927886580435524E-4
-255.2023260388166	2.7476651780850707	-6.927886580435524E-4
-266.1936510695579	2.9718691475918653	-6.927886580435524E-4
-277.5206973470551	3.206741237966896	-6.927886580435524E-4
-289.1937178797801	3.452724004019014	-6.927886580435524E-4
-301.2232787650696	3.710277083084359	-6.927886580435524E-4
-313.6202687484578	3.9798778256880567	-6.927886580435524E-4
-326.39590907484126	4.262021948792248	-6.927886580435524E-4
-339.5597486429627	4.557224040614378	-6.927886580435524E-4
-353.1256884597203	4.866018418988156	-6.927886580435524E-4
-367.10600848207594	5.188960035898983	-6.927886580435524E-4
-381.5133636426885	5.526625063902495	-6.927886580435524E-4
-396.36076477366004	5.879611327111366	-6.927886580435524E-4
-411.66165049851446	6.248539781730834	-6.927886580435524E-4
-427.42986981593634	6.634055023354865	-6.927886580435524E-4
-443.67969460541775	7.036826151962628	-6.927886580435524E-4
-460.42583253829537	7.457547667469903	-6.927886580435524E-4
-477.7104610621412	2.320943066525018	-6.927886580435524E-4
-495.49792120802	2.6093720113281935	-6.927886580435524E-4
-513.8287109562032	2.9127922186308397	-6.927886580435524E-4
-532.7194245164053	3.231850444208433	-6.927886580435524E-4
-552.1871628481254	3.567218967908341	-6.927886580435524E-4
-572.2495491336425	3.919596549486982	-6.927886580435524E-4
-592.92474472339	4.289709419029866	-6.927886580435524E-4
-614.2294505478657	4.678312131399578	-6.927886580435524E-4
-636.1849381110201	5.086188786895075	-6.927886580435524E-4
-658.8110829362628	5.514154311709363	-6.927886580435524E-4
-682.1283369612564	5.963055086259686	-6.927886580435524E-4
-706.1578071646536	6.433770801827383	-6.927886580435524E-4
-730.9212450885086	6.927215357767635	-6.927886580435524E-4
-756.4410664949957	7.444338130752637	-6.927886580435524E-4
-782.7403716468688	7.986125289398553	-6.927886580435524E-4
-809.8429662070521	8.553601156103335	-6.927886580435524E-4
-837.773382776267	9.147829617752175	-6.927886580435524E-4
-866.5569030881782	9.769915587001504	-6.927886580435524E-4
-896.2195808821102	10.421006515919407	-6.927886580435524E-4
-926.7882654740408	11.102293963812507	-6.927886580435524E-4
-958.2906260471655	11.81501522114916	-6.927886580435524E-4
-990.7551766840139	12.560454991523116	-6.927886580435524E-4
-1024.2113021627379	13.339947133703252	-6.927886580435524E-4
-1058.6892845409075	14.154876465877008	-6.927886580435524E-4
-1094.220330550848	15.00668063423211	-6.927886580435524E-4
-1130.8365998312945	15.896852048161229	-6.927886580435524E-4
-1168.5692190117732	16.826929989377593	-6.927886580435524E-4
