# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 8 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 10.0
# Number of particles: 50
# Spread in x        : 0.0m 
# Spread in y        : 0.0m 
# Spread in z        : 1.3142784559129587E-10m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 0.010000000000000002ms^-1 
# ----------------------------- 
z_spread 	 delta_KE 
1.3142784559129587E-10	3948.3653864001053
1.6545785463224237E-10	3979.1599718445245
2.0829909777747518E-10	3980.9647268762783
2.622330274458614E-10	3970.1543794913664
3.301318220633123E-10	3975.9746754095254
4.1561134003741415E-10	4103.506050105187
5.232236774029273E-10	3983.150253623032
6.586995835349388E-10	3917.843383013606
8.292536444503691E-10	4036.8927950266348
1.0439684858214948E-9	3999.9172886791293
1.3142784559129588E-9	4070.481689397443
1.6545785463224243E-9	3972.5698820594507
2.0829909777747517E-9	4026.5800101051964
2.6223302744586153E-9	4032.682533709968
3.3013182206331222E-9	4108.3684213346805
4.156113400374142E-9	3931.7529415839053
5.2322367740292745E-9	3946.913587811341
6.5869958353493865E-9	4121.869295481134
8.292536444503693E-9	4102.406964382829
1.0439684858214948E-8	4143.315169878795
1.314278455912959E-8	3943.246214948683
1.6545785463224246E-8	3952.2303606482405
2.082990977774753E-8	4037.4497352310427
2.6223302744586165E-8	4113.940160386582
3.301318220633123E-8	3972.1713423325036
4.156113400374142E-8	3941.759118096291
5.2322367740292745E-8	4000.4529784842453
6.586995835349391E-8	4015.6350237584306
8.292536444503698E-8	3930.4028024867475
1.0439684858214949E-7	4045.37115799857
1.314278455912959E-7	4007.2790829915225
1.6545785463224244E-7	3955.2418840893574
2.0829909777747533E-7	3979.2650944736647
2.6223302744586163E-7	3900.1072302438706
3.3013182206331227E-7	4043.7017896142183
4.1561134003741423E-7	3973.8322051573646
5.232236774029275E-7	4037.7332818143095
6.58699583534939E-7	3969.7254587718667
8.292536444503698E-7	3860.0909443996616
1.043968485821495E-6	3925.230074353471
1.3142784559129602E-6	4064.430282589378
1.6545785463224243E-6	3879.272450137542
2.082990977774751E-6	4035.249862943635
2.6223302744586165E-6	4024.406635805245
3.3013182206331225E-6	3982.469211395596
4.1561134003741465E-6	4142.6942217996575
5.2322367740292746E-6	4095.8925565280765
6.586995835349397E-6	4025.54705535373
8.292536444503696E-6	4098.030034561514
1.0439684858214948E-5	3975.50657171872
1.3142784559129603E-5	4054.0062096781303
1.6545785463224242E-5	3949.640244331487
2.0829909777747556E-5	4084.2942265825845
2.6223302744586165E-5	4029.714551883219
3.3013182206331224E-5	4062.363483527122
4.1561134003741464E-5	4030.1250806131106
5.232236774029274E-5	4019.97065869614
6.586995835349396E-5	4066.4868161102977
8.292536444503698E-5	3932.624266215553
1.0439684858214949E-4	3819.4787832262473
1.3142784559129603E-4	3991.2577884394577
1.6545785463224243E-4	4010.9600342540593
2.0829909777747552E-4	3963.1672485086283
2.6223302744586167E-4	4076.830161173916
3.301318220633123E-4	3982.5670571905457
4.1561134003741465E-4	4010.3368762882087
5.232236774029274E-4	3952.185006039506
6.586995835349398E-4	3932.644493777681
8.292536444503699E-4	4040.441348951793
0.001043968485821495	3954.4495853878743
