# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 9 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 0.001s 
# Number of Turns    : 50.0
# Number of particles: 50
# Spread in x        : 1.0439684858214946m 
# Spread in y        : 1.0439684858214946m 
# Spread in z        : 1.0439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 1.0E-5ms^-1 
# ----------------------------- 
v_sigma 	 delta_KE 
1.0E-5	1940.1867011558472
1.2589254117941673E-5	1938.7851370589808
1.5848931924611138E-5	1927.468509297592
1.9952623149688796E-5	1927.3262237448878
2.51188643150958E-5	1927.3262237448946
3.1622776601683795E-5	1927.326223744887
3.981071705534973E-5	1927.3262237448944
5.011872336272724E-5	1927.3262237448937
6.309573444801933E-5	1927.3262237448891
7.943282347242815E-5	1927.3262237448928
9.999999999999999E-5	1927.3262237448946
1.2589254117941674E-4	1927.326223744894
1.5848931924611142E-4	1927.326223744896
1.9952623149688798E-4	1927.3262237448953
2.511886431509581E-4	1927.3262237448962
3.1622776601683794E-4	1927.326223744902
3.9810717055349735E-4	1927.3262237448944
5.011872336272725E-4	1927.3262237448976
6.309573444801933E-4	1927.3262237448932
7.943282347242816E-4	1927.3262237448957
0.001	1927.3262237448878
0.0012589254117941675	1927.3262237448887
0.0015848931924611143	1927.3262237449012
0.0019952623149688807	1927.326223744888
0.0025118864315095825	1927.3262237449017
0.00316227766016838	1927.326223744895
0.003981071705534973	1927.3262237448919
0.005011872336272725	1927.3262237448926
0.006309573444801937	1927.3262237448903
0.007943282347242822	1927.3262237448967
0.01	1927.3262237448912
0.012589254117941677	1927.3262237448942
0.01584893192461114	1927.3262237448953
0.01995262314968881	1927.3262237448973
0.025118864315095822	1927.326223744888
0.0316227766016838	1927.3262237448976
0.039810717055349734	1927.3262237448946
0.05011872336272725	1927.3262237448935
0.06309573444801936	1927.3262237448926
0.07943282347242822	1927.3262237448957
0.1	1927.3262237448955
0.12589254117941687	1927.3262237448914
0.15848931924611143	1927.3262237448962
0.1995262314968879	1927.326223744898
0.25118864315095824	1927.326223744895
0.31622776601683794	1927.32622374489
0.39810717055349776	1927.3262237448957
0.5011872336272726	1927.3262237448896
0.6309573444801942	1927.3262237448967
0.794328234724282	1927.3262237448885
1.0	1927.3262237448957
1.2589254117941688	1927.3262237448926
1.584893192461114	1927.326223744899
1.9952623149688833	1927.3262237448932
2.511886431509582	1927.3262237448912
3.162277660168379	1927.326223744895
3.9810717055349776	1927.3262237449032
5.011872336272725	1927.326223744892
6.309573444801942	1927.3262237448957
7.943282347242823	1927.326223744894
10.0	1927.3262237448937
12.589254117941687	1927.3262237448937
15.848931924611142	1927.3262237449035
19.95262314968883	1927.3262237448928
25.118864315095824	1927.326223744892
31.6227766016838	1927.3262237448987
39.81071705534978	1927.3262237448914
50.118723362727245	1927.326223744895
63.09573444801943	1927.326223744901
79.43282347242823	1927.3262237448957
100.0	1927.3262237448905
125.89254117941687	1927.3262237448969
158.48931924611142	1927.3262237448932
199.52623149688827	1927.326223744891
251.18864315095823	1927.326223744894
316.22776601683796	1927.3262237448907
398.1071705534978	1927.3262237448869
501.18723362727246	1927.3262237448846
630.9573444801944	1927.326223744901
794.3282347242822	1927.326223744887
1000.0	1927.326223744894
