# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 8 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 50.0
# Number of particles: 20
# Spread in x        : 1.0E-8m 
# Spread in y        : 0.0m 
# Spread in z        : 0.0m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 10.0ms^-1 
# ----------------------------- 
x_spread 	 delta_KE 
1.0E-8	5.078122649936352
1.5848931924611136E-8	5.085048367295123
2.51188643150958E-8	5.076002982049568
3.981071705534973E-8	5.09374701407044
6.309573444801934E-8	5.080161310953336
1.0E-7	5.075789421321841
1.584893192461114E-7	5.098413713864914
2.511886431509581E-7	5.083270549875806
3.9810717055349735E-7	5.083120780531215
6.309573444801933E-7	5.078363290702576
1.0E-6	5.088274142908839
1.5848931924611143E-6	5.087407344245157
2.5118864315095823E-6	5.076439383966501
3.981071705534973E-6	5.087819951553013
6.309573444801937E-6	5.087347139497592
1.0E-5	5.0934532677432385
1.584893192461114E-5	5.078535674877443
2.5118864315095822E-5	5.093788072638433
3.9810717055349735E-5	5.08092231605252
6.309573444801936E-5	5.074698981218904
1.0E-4	5.088080034135779
1.5848931924611142E-4	5.091785836559188
2.511886431509582E-4	5.0826376348918645
3.9810717055349773E-4	5.095906616689506
6.309573444801943E-4	5.079094234858691
0.001	5.091555482514334
0.001584893192461114	5.073317651541536
0.002511886431509582	5.08492852828122
0.003981071705534978	5.093664199307643
0.006309573444801942	5.07944727692746
0.01	5.081302827815195
0.01584893192461114	5.088537516715509
0.025118864315095822	5.07536561430179
0.039810717055349776	5.083080270014988
0.06309573444801943	5.084888160221516
0.1	5.088852190358123
