# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : Velocity Verlet
# Time-step          : 1.0E-5s 
# Number of Turns    : 100.0
# Number of particles: 10
# Spread in x        : 0.010439684858214946m 
# Spread in y        : 0.010439684858214946m 
# Spread in z        : 0.010439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 0.1ms^-1 
# ----------------------------- 
Time 	 KE 	 PE 	 E 	 L 
0.0	8.363306523834381E-21	8.363041206014449E-21	1.672634772984883E-20	1.746150293542328E-21
0.6559499999996495	8.37168682650068E-21	8.371421116215452E-21	1.6743107942716133E-20	1.7478999659751005E-21
1.311890000000127	8.380071048925024E-21	8.379805383352267E-21	1.6759876432277293E-20	1.749650548108609E-21
1.9678400000044243	8.388462234060637E-21	8.388196015404367E-21	1.6776658249465002E-20	1.7514024591963126E-21
2.6237800000087215	8.39685670118354E-21	8.396590847966085E-21	1.6793447549149625E-20	1.7531552473239485E-21
3.2797300000130187	8.40525765539003E-21	8.404991328916532E-21	1.681024898430656E-20	1.7549092147995505E-21
3.935670000017316	8.413661731940898E-21	8.41339561095413E-21	1.6827057342895027E-20	1.7566639759181923E-21
4.5916199999953395	8.4220726205257E-21	8.421805865300689E-21	1.6843878485826387E-20	1.758419984017303E-21
5.247559999970507	8.430487274322501E-21	8.430221046149978E-21	1.686070832047248E-20	1.7601770207391315E-21
5.903509999945674	8.43890874548181E-21	8.438641882651506E-21	1.6877550628133316E-20	1.761935238325502E-21
6.559449999920842	8.447333020214811E-21	8.447066202671914E-21	1.6894399222886724E-20	1.763694183248658E-21
7.215399999896009	8.455763795130737E-21	8.455496664049347E-21	1.6911260459180085E-20	1.765454410448453E-21
7.871339999871177	8.464198981532288E-21	8.463932217834662E-21	1.692813119936695E-20	1.7672157009109174E-21
8.527289999846344	8.472640995485902E-21	8.472373596054979E-21	1.694501459154088E-20	1.7689782074786985E-21
9.183229999821512	8.48108549302794E-21	8.480817978038058E-21	1.6961903471065998E-20	1.770741341213214E-21
9.839179999796679	8.489536821948472E-21	8.489268831703928E-21	1.6978805653652398E-20	1.7725058261943054E-21
9.99999999979059	8.491624284936168E-21	8.491225344252385E-21	1.6982849629188554E-20	1.7729143336828554E-21
10.495119999771847	8.497991922896526E-21	8.497724300826223E-21	1.699571622372275E-20	1.774271274853608E-21
11.151069999747014	8.506454344390718E-21	8.506186004670222E-21	1.701264034906094E-20	1.776038025283506E-21
11.807009999722181	8.51491973443233E-21	8.514651601846892E-21	1.702957133627922E-20	1.777805588616726E-21
12.462959999697349	8.523391643736735E-21	8.523123035117389E-21	1.7046514678854124E-20	1.779574370489554E-21
13.118899999672516	8.53186684438731E-21	8.531598847305295E-21	1.7063465691692603E-20	1.7813440666527372E-21
13.774839999647684	8.540347678810615E-21	8.540079727978648E-21	1.7080427406789263E-20	1.7831148210837358E-21
14.430789999622851	8.548835201427218E-21	8.548566855169788E-21	1.7097402056597005E-20	1.784886879748277E-21
15.086729999598019	8.557326179467677E-21	8.557057960536526E-21	1.7114384140004202E-20	1.78665976903081E-21
15.742679999573186	8.565823688523293E-21	8.56555491194815E-21	1.7131378600471442E-20	1.7884338789306682E-21
16.398619999548355	8.574324330548886E-21	8.574055519394346E-21	1.7148379849943233E-20	1.790208752187502E-21
17.054569999523522	8.582832317374691E-21	8.582563028989626E-21	1.7165395346364318E-20	1.7919850665695613E-21
17.71050999949869	8.591343924668627E-21	8.591074926045712E-21	1.7182418850714337E-20	1.7937622970257834E-21
18.366459999473857	8.599862072568312E-21	8.599592353006352E-21	1.7199454425574664E-20	1.7955406820912225E-21
19.022399999449025	8.608382869374587E-21	8.608113358718813E-21	1.72164962280934E-20	1.797319814377485E-21
19.678349999424192	8.616911183866643E-21	8.61664103273782E-21	1.7233552216604462E-20	1.7991003389641253E-21
19.999999999412015	8.620289663505847E-21	8.620953164721185E-21	1.7241242828227032E-20	1.8000006849435276E-21
20.33428999939936	8.625443446578651E-21	8.625173748352687E-21	1.725061719493134E-20	1.8008819162042056E-21
20.990239999374527	8.63398242199485E-21	8.633711757613616E-21	1.7267694179608464E-20	1.8026645987242177E-21
21.646179999349695	8.642524210646552E-21	8.642253918254284E-21	1.7284778128900837E-20	1.804448148026154E-21
22.302129999324862	8.651072390722239E-21	8.650801863589504E-21	1.7301874254311742E-20	1.806232905135853E-21
22.95806999930003	8.65962517287401E-21	8.659355018390994E-21	1.7318980191265004E-20	1.808018749949274E-21
23.614019999275197	8.668184677527372E-21	8.667913636674416E-21	1.733609831420179E-20	1.8098057355032883E-21
24.269959999250364	8.676747322773216E-21	8.676476573439088E-21	1.7353223896212306E-20	1.8115936227289683E-21
24.92590999922553	8.685316694756459E-21	8.685045628913619E-21	1.7370362323670078E-20	1.8133827875027016E-21
25.5818499992007	8.693889696947756E-21	8.693618759965043E-21	1.73875084569128E-20	1.8151728032312023E-21
26.237789999175867	8.702467879878876E-21	8.702197072006735E-21	1.740466495188561E-20	1.8169639007178164E-21
26.893739999151034	8.711053123441245E-21	8.710781672271717E-21	1.742183479571296E-20	1.8187563111458195E-21
27.5496799991262	8.719641510511517E-21	8.71937043367394E-21	1.7439011944185457E-20	1.820549590393051E-21
28.20562999910137	8.72823647325736E-21	8.727964752584136E-21	1.7456201225841496E-20	1.8223440300129202E-21
