# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Time               : 10_04_2019--at--21-42
# ---------------------------- 
# Mode               : 9 
# Magnetic field?    : false
# Failing field?     : false
# Point charge?      : false
# Cyclotron Set-up?  : true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : Heun's
# Time-step          : 1.0E-4s 
# Number of Turns    : 50.0
# Number of particles: 50
# Spread in x        : 1.0439684858214946m 
# Spread in y        : 1.0439684858214946m 
# Spread in z        : 1.0439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 1.0E-5ms^-1 
# ----------------------------- 
v_sigma 	 delta_KE 
1.0E-5	1.9993106718782652
1.2589254117941673E-5	1.9992882127530167
1.5848931924611138E-5	1.9992706342137523
1.9952623149688796E-5	1.9992795053054375
2.51188643150958E-5	1.9992872357203908
3.1622776601683795E-5	1.9992779699705125
3.981071705534973E-5	1.9992094339455595
5.011872336272724E-5	1.9992912446382813
6.309573444801933E-5	1.999331921821223
7.943282347242815E-5	1.9992277318511362
9.999999999999999E-5	1.9992929069217416
1.2589254117941674E-4	1.999326402953052
1.5848931924611142E-4	1.9992282316634666
1.9952623149688798E-4	1.99927600093927
2.511886431509581E-4	1.9992423900056844
3.1622776601683794E-4	1.999280435499145
3.9810717055349735E-4	1.9993386491689753
5.011872336272725E-4	1.9992038296532233
6.309573444801933E-4	1.999266952801835
7.943282347242816E-4	1.9992495978146871
0.001	1.9992728185827806
0.0012589254117941675	1.9993203685221184
0.0015848931924611143	1.999338506093644
0.0019952623149688807	1.999313635537707
0.0025118864315095825	1.9992738043519027
0.00316227766016838	1.999289044348804
0.003981071705534973	1.9992394747481754
0.005011872336272725	1.9992961781706815
0.006309573444801937	1.9992534551851082
0.007943282347242822	1.9993026577831836
0.01	1.9992950666350027
0.012589254117941677	1.9992084797565577
0.01584893192461114	1.9992774755274223
0.01995262314968881	1.9992853805142226
0.025118864315095822	1.9993274822434663
0.0316227766016838	1.9992420022029556
0.039810717055349734	1.9992395752981198
0.05011872336272725	1.9994063050061486
0.06309573444801936	1.9993200212422817
0.07943282347242822	1.9992553973112046
0.1	1.9992848647988253
0.12589254117941687	1.999250201526253
0.15848931924611143	1.9991903044448316
0.1995262314968879	1.9991700374363102
0.25118864315095824	1.9992677503139555
0.31622776601683794	1.9993300265667708
0.39810717055349776	1.999359868256909
0.5011872336272726	1.999296897311388
0.6309573444801942	1.9993901435210764
0.794328234724282	1.9994220320654776
1.0	1.998714887700044
1.2589254117941688	1.9984897117747709
1.584893192461114	1.999260561029256
1.9952623149688833	1.9995076440114241
2.511886431509582	2.000100872918083
3.162277660168379	2.0004850156566367
3.9810717055349776	1.9976173247124172
5.011872336272725	1.9986191713063235
6.309573444801942	1.9990516757198158
7.943282347242823	2.00141163788317
10.0	2.00219390357392
12.589254117941687	2.0015722943296
15.848931924611142	2.0103648801015006
19.95262314968883	1.9936311039113617
25.118864315095824	2.0074602161944055
31.6227766016838	2.01454298681498
39.81071705534978	2.015435407383058
50.118723362727245	1.9617397927482367
63.09573444801943	2.0474750286778955
79.43282347242823	2.0361683110112994
100.0	1.9354337836907511
125.89254117941687	1.966849295836353
158.48931924611142	1.9689843414310533
199.52623149688827	1.960306557681892
251.18864315095823	1.9459179679053658
316.22776601683796	1.932361333886401
398.1071705534978	1.7437958003226297
501.18723362727246	1.9772755286495254
