# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 10 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-6T 
# Electric strength  : 1.0E-6NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 10.0
# Number of particles: 10
# Spread in x        : 0.10439684858214947m 
# Spread in y        : 0.10439684858214947m 
# Spread in z        : 0.10439684858214947m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 0.01ms^-1 
# ----------------------------- 
Turn Num 	 deltaV 
100.0	360.32750315546036
200.0	481.5605904731242
300.0	646.7772327367366
400.0	871.0535123419845
500.0	1174.8334430416412
600.0	1585.8488745908326
700.0	2141.596120858023
800.0	2892.806438980706
900.0	3908.0285829209242
1000.0	5280.0214185630575
1100.0	7133.665496047444
1200.0	9638.695414429098
1300.0	13023.79304708272
1400.0	17596.538793057814
1500.0	23777.049607640132
1600.0	32123.395551746435
1700.0	43403.239084272485
1800.0	58644.9742120516
1900.0	79238.1350025195
2000.0	107059.87417196314
2100.0	144648.89332036616
2200.0	195438.14498673624
2300.0	264059.579745364
2400.0	356773.72190094204
2500.0	482041.62205765746
2600.0	651291.8763962856
2700.0	879969.3652471402
2800.0	1188937.0979050598
2900.0	1606387.088236913
3000.0	2170408.744479337
3100.0	2932459.953024028
3200.0	3962086.7764364798
3300.0	5353222.679142078
3400.0	7232802.98252359
