# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 8 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 50.0
# Number of particles: 20
# Spread in x        : 0.0m 
# Spread in y        : 0.0m 
# Spread in z        : 1.5848931924611136E-8m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 10.0ms^-1 
# ----------------------------- 
z_spread 	 delta_KE 
1.5848931924611136E-8	5.084314098808297
2.51188643150958E-8	5.088005338444468
3.981071705534973E-8	5.0885199972427655
6.309573444801934E-8	5.089851787904517
1.0E-7	5.0880240039607605
1.584893192461114E-7	5.085392050061793
2.511886431509581E-7	5.093159638784557
3.9810717055349735E-7	5.076872276119331
6.309573444801933E-7	5.085303283218681
1.0E-6	5.086898045748979
1.5848931924611143E-6	5.0783839729090285
2.5118864315095823E-6	5.079996148930234
3.981071705534973E-6	5.082226761586626
6.309573444801937E-6	5.102467019924366
1.0E-5	5.074614701716997
1.584893192461114E-5	5.081553304479529
2.5118864315095822E-5	5.082495251285914
3.9810717055349735E-5	5.080200415411881
6.309573444801936E-5	5.089107332315895
1.0E-4	5.087315394807654
1.5848931924611142E-4	5.090891082852672
2.511886431509582E-4	5.081492135122718
3.9810717055349773E-4	5.097734789145082
6.309573444801943E-4	5.0898104144223595
0.001	5.084466000091996
0.001584893192461114	5.096977563331712
0.002511886431509582	5.080576289756409
0.003981071705534978	5.083651838613522
0.006309573444801942	5.0850751504265315
0.01	5.090533361654901
0.01584893192461114	5.074795792294184
0.025118864315095822	5.089782763095371
0.039810717055349776	5.08577491493416
0.06309573444801943	5.089138191642269
0.1	5.088061355144635
