# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       true
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 10.0
# Number of particles: 10
# Spread in x        : 1.0E-4m 
# Spread in y        : 1.0E-4m 
# Spread in z        : 1.0E-4m 
# ----------------------------- 
Time 	 KE 	 PE 	 E 	 L 
0.0	8.345195744629567E-21	8.353999212250832E-21	1.66991949568804E-20	1.744262381633493E-21
0.6559499999996495	8.35356517165231E-21	8.362372753731586E-21	1.6715937925383895E-20	1.7460107243176183E-21
0.9999999999980838	8.35870967400027E-21	8.349651470698421E-21	1.670836114469869E-20	1.7433546006004503E-21
1.311890000000127	8.361938198098902E-21	8.370750651789176E-21	1.6732688849888076E-20	1.747759976627528E-21
1.9678400000044243	8.370318344930015E-21	8.379134671630584E-21	1.6749453016560597E-20	1.7495105071273145E-21
2.000000000004635	8.371400378460507E-21	8.3792826480875E-21	1.6750683026548007E-20	1.7495414036788472E-21
2.6237800000087215	8.378701609793364E-21	8.387522970645566E-21	1.676622458043893E-20	1.7512619310915722E-21
3.000000000011186	8.384102730215658E-21	8.376008736877046E-21	1.6760111467092703E-20	1.7488578316530282E-21
3.2797300000130187	8.387091834502016E-21	8.395917150985427E-21	1.6783008985487443E-20	1.7530145830393954E-21
3.935670000017316	8.395485181106131E-21	8.404315452937418E-21	1.6799800634043548E-20	1.7547680955538535E-21
4.000000000017737	8.396816259951227E-21	8.403450101398008E-21	1.6800266361349234E-20	1.7545874156065935E-21
4.5916199999953395	8.403885337231536E-21	8.41271972501865E-21	1.6816605062250185E-20	1.7565228545936687E-21
4.999999999979879	8.409542260525761E-21	8.403178464185132E-21	1.681272072471089E-20	1.75453069946863E-21
5.247559999970507	8.412288939773599E-21	8.421128281698347E-21	1.6833417221471944E-20	1.7582785082306386E-21
5.903509999945674	8.420699512172283E-21	8.429543047822894E-21	1.6850242559995178E-20	1.760035458360555E-21
5.9999999999420215	8.422280087210711E-21	8.427035459840827E-21	1.684931554705154E-20	1.7595118897948152E-21
6.559449999920842	8.429113204149747E-21	8.43796161759515E-21	1.6867074821744895E-20	1.761793202668141E-21
6.559449999920842	8.429113204149747E-21	8.43796161759515E-21	1.6867074821744895E-20	1.761793202668141E-21

#Absolute change in energy: 1.678798648644956E-22J
#Percentage change: 1.0053171143757786%
#Absolute change in angular momentum: 1.7530821034647845E-23kgm^2s^-1
#Percentage change: 1.0050564192200442%
