# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 8 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 10.0
# Number of particles: 50
# Spread in x        : 0.0m 
# Spread in y        : 1.3142784559129587E-10m 
# Spread in z        : 0.0m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 0.010000000000000002ms^-1 
# ----------------------------- 
y_spread 	 delta_KE 
1.3142784559129587E-10	3989.700368203313
1.6545785463224237E-10	3956.49501710302
2.0829909777747518E-10	3921.498084654171
2.622330274458614E-10	4030.5748054866453
3.301318220633123E-10	4012.796352402617
4.1561134003741415E-10	4024.74770046635
5.232236774029273E-10	4034.8904376210016
6.586995835349388E-10	4049.107278905371
8.292536444503691E-10	4039.245373666658
1.0439684858214948E-9	3970.9330310615032
1.3142784559129588E-9	4099.9319834069365
1.6545785463224243E-9	3912.3808771563517
2.0829909777747517E-9	4047.236831927481
2.6223302744586153E-9	3976.988238481307
3.3013182206331222E-9	3962.477889201743
4.156113400374142E-9	3991.1741435003687
5.2322367740292745E-9	3974.3790101578456
6.5869958353493865E-9	4035.6973163688444
8.292536444503693E-9	4089.3339426644307
1.0439684858214948E-8	3942.0130227127975
1.314278455912959E-8	3934.017668404169
1.6545785463224246E-8	3970.0260387063927
2.082990977774753E-8	4066.58604774104
2.6223302744586165E-8	4016.684279837819
3.301318220633123E-8	4005.739729562987
4.156113400374142E-8	3914.256908029114
5.2322367740292745E-8	4097.683201984672
6.586995835349391E-8	4046.501198964127
8.292536444503698E-8	3783.7240119850844
1.0439684858214949E-7	4114.445809696648
1.314278455912959E-7	4045.2917190310955
1.6545785463224244E-7	4058.8565619515275
2.0829909777747533E-7	4076.149342737238
2.6223302744586163E-7	3900.233737258992
3.3013182206331227E-7	4015.066225265175
4.1561134003741423E-7	3921.8415305932485
5.232236774029275E-7	3922.056508417552
6.58699583534939E-7	3944.1481358652763
8.292536444503698E-7	4016.9378446759306
1.043968485821495E-6	4014.0624863884404
1.3142784559129602E-6	3951.288162033805
1.6545785463224243E-6	4005.781346858544
2.082990977774751E-6	4024.87982997694
2.6223302744586165E-6	3955.365353751589
3.3013182206331225E-6	4116.560664936375
4.1561134003741465E-6	3934.4855362594226
5.2322367740292746E-6	4115.512433524285
6.586995835349397E-6	4016.0478604367363
8.292536444503696E-6	4085.2657537680034
1.0439684858214948E-5	3990.3407832953994
1.3142784559129603E-5	3921.616912550822
1.6545785463224242E-5	4017.9310163673363
2.0829909777747556E-5	4013.6443266087517
2.6223302744586165E-5	4105.5187304674455
3.3013182206331224E-5	4065.585700928656
4.1561134003741464E-5	4017.7986035332565
5.232236774029274E-5	3897.113448976239
6.586995835349396E-5	4028.0408780426305
8.292536444503698E-5	3994.200748988186
1.0439684858214949E-4	4018.994956964736
1.3142784559129603E-4	4102.228641636151
1.6545785463224243E-4	4042.037640344406
2.0829909777747552E-4	4060.4191652993554
2.6223302744586167E-4	4016.0556550776246
3.301318220633123E-4	3926.8534540951487
4.1561134003741465E-4	4081.800568330111
5.232236774029274E-4	4034.001809119624
6.586995835349398E-4	4020.4655659322134
8.292536444503699E-4	3959.2847697699503
0.001043968485821495	3992.3084476566996
