# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 9 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 50.0
# Number of particles: 50
# Spread in x        : 1.0439684858214946m 
# Spread in y        : 1.0439684858214946m 
# Spread in z        : 1.0439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 0.001ms^-1 
# ----------------------------- 
v_sigma 	 delta_KE 
0.001	5.084567195634416
0.0012589254117941673	4.56362440162976
0.0015848931924611134	3.055015881613805
0.0019952623149688794	3.055015881613025
0.0025118864315095803	3.0550158816110664
0.0031622776601683794	3.055015881612526
0.003981071705534973	3.055015881612781
0.005011872336272723	3.055015881611635
0.006309573444801933	3.055015881613025
0.007943282347242816	3.0550158816119857
0.009999999999999998	3.0550158816137998
0.012589254117941675	3.0550158816099344
0.01584893192461114	3.055015881614963
0.019952623149688795	3.0550158816116144
0.025118864315095808	3.0550158816111486
0.03162277660168379	3.055015881611796
0.039810717055349734	3.0550158816099766
0.05011872336272725	3.055015881614722
0.06309573444801932	3.0550158816097657
0.07943282347242817	3.05501588161158
0.09999999999999999	3.0550158816111086
0.12589254117941676	3.0550158816129445
0.15848931924611143	3.055015881610839
0.19952623149688806	3.0550158816116197
0.25118864315095824	3.055015881611989
0.31622776601683794	3.0550158816144064
0.3981071705534973	3.0550158816118134
0.5011872336272725	3.055015881612537
0.6309573444801936	3.05501588161591
0.7943282347242822	3.0550158816104336
1.0	3.0550158816131234
1.2589254117941675	3.0550158816128565
1.5848931924611138	3.0550158816144553
1.9952623149688806	3.0550158816142936
2.511886431509582	3.0550158816140467
3.1622776601683795	3.055015881614934
3.9810717055349736	3.055015881614593
5.011872336272725	3.0550158816128516
6.309573444801936	3.0550158816147417
7.943282347242821	3.055015881613088
10.0	3.0550158816136506
12.589254117941687	3.0550158816134125
15.848931924611142	3.055015881612185
19.952623149688787	3.055015881614434
25.118864315095824	3.055015881610829
31.622776601683793	3.05501588161274
39.81071705534977	3.0550158816155486
50.118723362727245	3.0550158816133894
63.09573444801943	3.055015881610365
79.43282347242821	3.0550158816109043
99.99999999999999	3.0550158816121513
125.89254117941687	3.0550158816130857
158.4893192461114	3.05501588161411
199.52623149688827	3.05501588161099
251.18864315095817	3.0550158816127437
316.2277660168379	3.055015881612453
398.1071705534977	3.0550158816162276
501.18723362727246	3.0550158816169066
630.9573444801943	3.055015881613767
794.3282347242822	3.0550158816149677
1000.0	3.0550158816118773
