# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 8 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-4s 
# Number of Turns    : 100.0
# Number of particles: 100
# Spread in x        : 0.0m 
# Spread in y        : 0.0m 
# Spread in z        : 1.2589254117941673E-8m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 10.0ms^-1 
# ----------------------------- 
z_spread 	 delta_KE 
1.2589254117941673E-8	88.04064435022958
1.5848931924611136E-8	88.0443412644937
1.9952623149688796E-8	88.04362489768927
2.51188643150958E-8	88.03858864547281
3.16227766016838E-8	88.02951643439002
3.981071705534973E-8	88.03619375535773
5.0118723362727236E-8	88.0355441769594
6.309573444801934E-8	88.03631531795254
7.943282347242815E-8	88.04430756364073
1.0E-7	88.02783946116139
1.2589254117941675E-7	88.04008011898996
1.584893192461114E-7	88.03437594851447
1.9952623149688798E-7	88.04401958768467
2.511886431509581E-7	88.0360189093529
3.162277660168379E-7	88.04888603633744
3.9810717055349735E-7	88.0393926595084
5.011872336272725E-7	88.03775967168602
6.309573444801933E-7	88.04674834848151
7.943282347242817E-7	88.02885775181409
1.0E-6	88.03776266942504
1.2589254117941676E-6	88.03936954050272
1.5848931924611143E-6	88.03297500482273
1.995262314968881E-6	88.03842871964859
2.5118864315095823E-6	88.04041915704379
3.1622776601683796E-6	88.0354942448689
3.981071705534973E-6	88.02644518777876
5.011872336272725E-6	88.03929954513768
6.309573444801937E-6	88.0282872962959
7.943282347242822E-6	88.02814310489663
1.0E-5	88.0448294925674
1.2589254117941676E-5	88.033402930475
1.584893192461114E-5	88.03280566136615
1.995262314968881E-5	88.03766867232517
2.5118864315095822E-5	88.02854496596633
3.1622776601683795E-5	88.03803824616375
3.9810717055349735E-5	88.0271129487154
5.011872336272725E-5	88.03534428458698
6.309573444801936E-5	88.03437988802317
7.943282347242822E-5	88.03979387343782
1.0E-4	88.026271760445
1.2589254117941688E-4	88.0303162831945
1.5848931924611142E-4	88.02908143824378
1.995262314968879E-4	88.03734781663688
2.511886431509582E-4	88.03550463473651
3.1622776601683794E-4	88.03921046848879
3.9810717055349773E-4	88.04162946094425
5.011872336272725E-4	88.02919254719572
6.309573444801943E-4	88.03421906485579
7.943282347242821E-4	88.03390877169049
0.001	88.03259095832371
0.0012589254117941688	88.03678986883821
0.001584893192461114	88.04025060746793
0.0019952623149688833	88.02737348492919
0.002511886431509582	88.03818680478236
0.003162277660168379	88.027672724108
0.003981071705534978	88.03098686110134
0.005011872336272725	88.02841693193187
0.006309573444801942	88.02658499287774
0.007943282347242822	88.03584869346346
0.01	88.04992307504263
0.012589254117941687	88.03957743962124
0.01584893192461114	88.03762396313434
0.01995262314968883	88.0338558301417
0.025118864315095822	88.04387597608181
0.0316227766016838	88.0447803381528
0.039810717055349776	88.0269159864954
0.05011872336272725	88.04753698489472
0.06309573444801943	88.03975253701094
0.07943282347242822	88.0422231817452
0.1	88.0407784843692
