# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Time               : 10_04_2019--at--21-50
# ---------------------------- 
# Mode               : 9 
# Magnetic field?    : false
# Failing field?     : true
# Point charge?      : false
# Cyclotron Set-up?  : true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : Heun's
# Time-step          : 1.0E-4s 
# Number of Turns    : 50.0
# Number of particles: 50
# Spread in x        : 1.0439684858214946m 
# Spread in y        : 1.0439684858214946m 
# Spread in z        : 1.0439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 1.0E-5ms^-1 
# ----------------------------- 
v_sigma 	 delta_KE 
1.0E-5	1.4624521584759185
1.2589254117941673E-5	1.5279274423476465
1.5848931924611138E-5	1.5594531113710144
1.9952623149688796E-5	1.524813670270981
2.51188643150958E-5	1.5763391300516367
3.1622776601683795E-5	1.5427541607573485
3.981071705534973E-5	1.496887458955544
5.011872336272724E-5	1.4818583547684758
6.309573444801933E-5	1.449556978989026
7.943282347242815E-5	1.4886215038693764
9.999999999999999E-5	1.5230527947978194
1.2589254117941674E-4	1.3567092456192813
1.5848931924611142E-4	1.5108293466939875
1.9952623149688798E-4	1.5298748372983189
2.511886431509581E-4	1.5192486164516386
3.1622776601683794E-4	1.4917088160602114
3.9810717055349735E-4	1.6218435448994786
5.011872336272725E-4	1.4804985104989892
6.309573444801933E-4	1.5311632182855393
7.943282347242816E-4	1.6314849364040918
0.001	1.538957444873462
0.0012589254117941675	1.4702957094761178
0.0015848931924611143	1.50812472034152
0.0019952623149688807	1.4341078744335256
0.0025118864315095825	1.528239653939028
0.00316227766016838	1.5922866661726862
0.003981071705534973	1.6205863636767772
0.005011872336272725	1.5094205381352892
0.006309573444801937	1.5244426153821484
0.007943282347242822	1.537312801133507
0.01	1.4267108085422486
0.012589254117941677	1.6021187524426816
0.01584893192461114	1.4318043559051283
0.01995262314968881	1.5633627575841884
0.025118864315095822	1.6216809053406327
0.0316227766016838	1.5188473172586394
0.039810717055349734	1.5639837087857755
0.05011872336272725	1.5256318119049455
0.06309573444801936	1.5064222151676934
0.07943282347242822	1.60947369468563
0.1	1.5053072361335809
0.12589254117941687	1.503790486573756
0.15848931924611143	1.5247210932626911
0.1995262314968879	1.4867601207567211
0.25118864315095824	1.4778091573313037
0.31622776601683794	1.4642923782719808
0.39810717055349776	1.4792621958702983
0.5011872336272726	1.5657632192645492
0.6309573444801942	1.5363134261797373
0.794328234724282	1.5580129267619907
1.0	1.5143828817121483
1.2589254117941688	1.4873631965666552
1.584893192461114	1.5287112605588067
1.9952623149688833	1.4160763264886422
2.511886431509582	1.5647240209574445
3.162277660168379	1.5876004821209753
3.9810717055349776	1.481678922854373
5.011872336272725	1.6673534012361295
6.309573444801942	1.5027268284261195
7.943282347242823	1.5724232082332146
10.0	1.4898063467941889
12.589254117941687	1.448589906032276
15.848931924611142	1.551440072323886
19.95262314968883	1.5515900539811525
25.118864315095824	1.5379366922530364
31.6227766016838	1.5609848920930747
39.81071705534978	1.4654702964152704
50.118723362727245	1.5168225657072263
63.09573444801943	1.4284571067985614
79.43282347242823	1.380589890265239
100.0	1.5502616800984035
125.89254117941687	1.5544669030526135
158.48931924611142	1.5242258343935409
199.52623149688827	1.4726936571882117
251.18864315095823	1.4855489507872746
316.22776601683796	1.397255950490715
398.1071705534978	1.4420318180085103
501.18723362727246	1.357750441050875
