# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Time               : 08_04_2019--at--16-21
# ---------------------------- 
# Mode               : 7 
# Magnetic field?    : false
# Failing field?     : false
# Point charge?      : false
# Cyclotron Set-up?  : true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 0.0
# Algorithm          : Heun's
# Time-step          : 1.0E-5s 
# Number of Turns    : 100.0
# Number of particles: 1
# Spread in x        : 0.0m 
# Spread in y        : 0.0m 
# Spread in z        : 0.0m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 0.0ms^-1 
# ----------------------------- 
phi 	 deltaKE 	 expected-dKE 
0.0	912.1748662883015	922.0743377828967
0.02	2737.7050436380882	2743.6752943407155
0.04	5150.832766932605	5153.868959865767
0.06	7602.301043032914	7607.417264988986
0.08	10040.94297829635	10047.407001371848
0.1	12451.61977890929	12456.075751019844
0.12	14815.160823745442	14818.444453733033
0.14	17120.6641131575	17123.347263624888
0.16	19347.652955319343	19361.30490937379
0.18	21525.036107452295	21524.7405114002
0.2	23596.092803895805	23601.805482202675
0.22	25577.914223321724	25585.295806317317
0.24	27456.980738247297	27467.565676731516
0.26	29251.525904976108	29241.30115943243
0.28	30902.77416093296	30899.213112295496
0.3	32443.499557338735	32434.616632647885
0.32	33845.7755492311	33842.09667587666
0.3400000000000001	35100.779231548426	35115.04234591835
0.36	36236.08692942631	36248.98378644894
0.37999999999999995	37258.158933233404	37239.684522800795
