# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 8 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 50.0
# Number of particles: 20
# Spread in x        : 0.0m 
# Spread in y        : 1.5848931924611136E-8m 
# Spread in z        : 0.0m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 10.0ms^-1 
# ----------------------------- 
y_spread 	 delta_KE 
1.5848931924611136E-8	5.077450633946044
2.51188643150958E-8	5.084627501339791
3.981071705534973E-8	5.083928197740438
6.309573444801934E-8	5.082335590741521
1.0E-7	5.093959685581314
1.584893192461114E-7	5.082667618861692
2.511886431509581E-7	5.083691625667655
3.9810717055349735E-7	5.081289370719919
6.309573444801933E-7	5.090069634077529
1.0E-6	5.086123477142422
1.5848931924611143E-6	5.092612902558824
2.5118864315095823E-6	5.082923275715511
3.981071705534973E-6	5.082916697543398
6.309573444801937E-6	5.082430685769398
1.0E-5	5.089249364846686
1.584893192461114E-5	5.073728768507817
2.5118864315095822E-5	5.083493155071921
3.9810717055349735E-5	5.087398397559328
6.309573444801936E-5	5.090719795784238
1.0E-4	5.076331428650068
1.5848931924611142E-4	5.092337752827198
2.511886431509582E-4	5.087990616695893
3.9810717055349773E-4	5.082902699236318
6.309573444801943E-4	5.0843980001972096
0.001	5.082720716616467
0.001584893192461114	5.078228347450442
0.002511886431509582	5.089167948992908
0.003981071705534978	5.078135810344202
0.006309573444801942	5.08539072816682
0.01	5.083041908121716
0.01584893192461114	5.088753905575116
0.025118864315095822	5.088549627133404
0.039810717055349776	5.082501302833258
0.06309573444801943	5.076837755868108
0.1	5.088929961211313
